,clust,Customer Lifetime Value,Income,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Total Claim Amount,Education,Vehicle Size
35,2,5744.229745000001,68987,71,11,40,0,6,204.475147,3,1
36,1,13891.735669999998,42305,117,10,62,0,2,561.6,0,2
37,2,7380.9767170000005,65706,91,19,86,0,8,436.8,4,2
38,1,3090.034104,0,90,7,79,0,1,648.0,0,2
39,2,2521.633095,53243,66,4,15,2,1,157.397849,3,1
40,2,2652.0617850000003,0,70,7,1,1,1,484.31853600000005,3,1
41,1,2771.0450309999997,50071,71,3,32,0,1,18.918935,1,1
42,1,3939.0063700000005,60021,99,12,28,0,1,882.8719449999999,0,2
43,2,12231.87968,43244,103,15,16,0,2,494.4,3,1
44,1,2443.665166,92834,61,15,56,0,1,292.8,1,0
45,2,12819.10289,10105,172,5,4,3,3,0.517753,2,1
46,1,4468.510542,0,73,7,57,3,5,579.165954,0,1
47,2,5514.344018,23218,71,7,10,0,4,447.79344000000003,3,1
48,1,3343.8753260000003,0,92,11,77,0,1,529.624084,0,1
49,2,2294.478927,0,62,11,56,0,1,313.023175,3,1
50,0,36707.42639,24804,104,1,28,0,2,593.830288,1,2
51,0,33473.349460000005,33190,106,18,95,0,2,508.8,0,1
52,2,7983.431709,36014,69,4,40,3,2,173.956072,3,1
53,1,4854.745666,29834,64,19,44,0,3,307.2,0,1
54,1,4293.997319,16701,113,20,26,0,1,831.625979,0,2
55,1,7164.3955430000005,46623,91,1,53,0,3,436.8,1,2
56,1,7619.5158,64749,64,24,59,0,2,302.56519,1,1
57,2,3958.002823,0,101,29,12,0,1,484.8,3,2
58,2,4499.493252,16969,124,34,47,2,1,704.7681110000001,3,1
59,2,4059.567414,11621,108,4,98,0,1,518.4,4,1
60,1,4458.113369,17622,65,1,36,1,3,312.0,0,1
61,1,8110.333139,11489,105,4,50,0,6,504.0,0,2
62,1,3339.764873,0,94,20,53,0,1,863.327324,0,2
63,2,24261.01777,66525,100,0,86,0,2,104.331355,3,1
64,1,6613.973653,0,63,21,28,0,2,676.391482,0,0
65,1,2930.693543,33663,73,29,71,0,1,350.4,1,1
66,1,8672.194272,22547,112,7,60,0,3,537.6,1,1
67,2,11638.669259999999,61486,97,5,65,0,2,465.25864400000006,3,2
68,1,6846.150323000001,0,95,13,20,0,5,456.0,0,0
69,1,11727.77648,29879,102,17,0,0,2,500.25423499999994,1,1
70,2,22643.83478,93011,113,17,12,0,2,281.451042,3,1
71,2,2614.474305,65186,65,29,27,0,1,5.434505000000001,4,0
72,2,2451.752695,26840,64,1,47,2,1,307.2,4,1
73,1,6781.270203,0,104,30,3,1,5,982.399613,0,1
74,1,4974.801539,75644,65,5,68,3,9,467.803638,0,1
75,1,8591.604933,38984,73,27,38,0,2,350.4,0,2
76,2,5592.161392,71811,71,17,48,0,6,29.034159999999996,3,1
77,1,8009.472833,20961,67,20,33,0,2,321.6,1,1
78,1,11318.089820000001,38923,99,6,83,2,2,115.728852,1,1
79,0,58166.553510000005,61321,186,0,30,1,2,427.63120999999995,0,2
80,1,8025.229358,0,77,20,26,0,2,25.807685,1,0
81,2,5780.182197,51066,74,23,0,0,8,787.993313,3,1
82,2,4118.539113,34378,102,12,54,0,1,489.6,2,1
83,2,2523.07015,43072,63,35,15,0,1,302.4,4,0
84,1,6554.216396,25222,90,28,69,0,3,475.623251,1,2
85,2,7703.397293999999,36765,66,15,32,1,2,320.84907200000004,3,1
86,1,5926.729379,23091,96,28,90,5,5,460.8,1,1
87,1,2683.470677,48269,69,3,79,3,1,282.151207,0,1
88,1,2695.182419,32720,67,13,12,0,1,321.6,0,1
89,1,6047.02516,20396,76,15,60,1,4,364.8,1,1
90,0,13171.01282,21513,119,21,81,1,2,679.827592,1,2
91,1,10656.88195,72540,88,7,3,0,2,631.743039,0,1
92,1,2527.653796,80744,63,24,84,0,1,11.879037,0,1
93,1,2672.0957559999997,52822,67,23,88,0,1,350.529033,0,2
94,2,5313.294035,0,77,8,10,1,9,863.3947,3,1
95,1,20946.19251,69738,74,2,26,1,2,492.12753200000003,0,0
96,2,8375.353929,17780,109,12,18,0,9,132.58828799999998,4,1
97,1,4801.661503,18107,62,29,11,0,8,297.6,0,1
98,1,5745.94334,57740,74,30,87,3,9,269.905129,0,1
99,1,6066.1159689999995,32627,76,11,60,0,7,380.036697,1,2
100,1,8002.308333,0,107,3,65,0,3,513.6,1,1
101,1,2393.9153690000003,0,70,24,10,0,1,425.266308,1,1
102,1,4762.8179,65795,62,2,85,1,3,49.011099,0,1
103,1,4330.38602,60475,107,9,18,0,1,513.6,1,1
104,0,9402.729769,0,130,28,88,0,4,936.0,3,1
105,1,6966.694527,41837,88,29,93,0,9,142.062768,0,2
106,1,7694.064293,32303,65,13,34,0,2,45.152521,0,1
107,2,8717.561149,0,117,5,89,1,3,561.6,3,1
108,1,5928.748528,40531,74,17,32,0,9,30.567357,0,1
109,1,2452.977288,79898,62,5,86,1,1,271.606799,1,1
110,1,6701.571657,56398,85,4,18,0,7,408.0,1,2
111,2,7556.24034,35257,98,16,2,1,8,470.4,3,2
112,1,8492.6988,27804,109,19,54,0,7,784.8,1,1
113,1,7713.494046,45506,66,16,32,2,2,316.8,0,1
114,2,24084.5352,65196,67,0,54,0,2,396.08203599999996,3,1
115,2,7290.069769,0,102,11,70,1,3,489.6,3,1
116,2,4772.943848,20993,133,35,90,0,1,638.4,3,1
117,2,6806.491395,37839,86,35,77,0,9,465.633954,3,1
118,1,2469.781334,92711,62,24,10,0,1,368.400146,0,1
119,1,3103.923041,74665,78,10,90,2,1,236.90200099999998,1,1
120,1,2981.875575,0,83,26,89,0,1,582.679087,1,1
121,1,8902.737595,46833,112,6,3,0,9,64.109663,0,1
122,2,5499.447223,88768,68,17,77,0,7,326.4,3,2
123,0,15023.598580000002,28262,192,9,77,0,3,921.6,3,1
124,1,2509.107875,33555,63,17,11,0,1,101.89645,0,1
125,0,31221.7481,42780,113,10,27,1,2,542.4,1,1
126,2,3133.503432,58850,78,20,26,0,1,143.747794,4,1
127,1,3837.4518630000002,21880,97,29,37,0,1,424.077159,1,1
128,1,11790.49617,25251,66,13,43,0,2,316.8,1,1
129,2,7838.068321,0,69,9,12,0,2,2.704934,4,1
130,2,4305.808345,24188,109,14,82,0,1,523.2,3,1
131,1,5973.976904,41611,74,14,8,0,8,113.801497,0,1
132,1,5670.442396,28406,72,16,35,1,4,192.87572,0,1
133,1,4731.7493460000005,69833,118,32,99,0,1,828.662719,1,2
134,2,8026.3796409999995,0,74,15,91,0,2,532.8,3,2
135,0,4022.963529,0,117,6,1,0,1,975.1070980000001,3,1
136,2,9618.310865000001,80536,119,5,83,0,3,53.798708,3,1
137,1,2274.775451,0,63,2,5,0,1,606.6424519999999,1,2
138,1,9552.926922,97732,79,0,70,0,2,289.9122,1,1
139,1,10388.55323,61222,89,20,55,0,2,392.604371,0,2
140,1,2470.1212219999998,0,74,7,20,0,1,721.242206,1,0
141,2,5619.068507999999,50335,140,9,54,0,1,456.52385,4,1
142,0,9047.119209,0,127,30,11,0,6,1087.995426,3,1
143,0,6692.143668,63221,168,28,49,0,1,806.4,3,1
144,2,3731.5045840000002,0,96,31,34,0,1,460.8,3,0
145,1,3660.770258,64495,92,34,30,0,1,251.992083,0,1
146,1,7928.8292519999995,0,72,7,75,0,2,345.6,1,1
147,1,5011.751577,28859,67,24,51,3,4,321.6,0,1
148,2,7988.258292,77330,99,0,21,0,3,99.25760799999999,3,1
149,1,3885.456401,0,105,3,92,0,1,504.0,1,0
150,1,2659.337982,24495,70,29,65,0,1,336.0,0,2
151,2,8564.768226,95697,107,29,29,0,9,178.006524,3,1
152,2,4885.1625109999995,26372,126,11,7,0,1,604.8,3,1
153,1,9753.307106,17514,127,2,5,0,3,8.312729,0,1
154,1,2946.1536969999997,89270,74,17,90,0,1,316.599228,0,1
155,2,2581.110945,29757,65,13,55,0,1,312.0,3,2
156,1,3517.385764,51814,92,28,89,0,1,56.300724,1,1
157,1,9743.350113,24028,82,14,27,0,2,393.6,0,2
158,1,3873.647046,28142,105,18,50,0,1,701.7082389999999,1,1
159,1,7649.28199,52705,64,14,8,1,2,128.70556299999998,0,0
160,2,2287.59692,0,63,1,5,0,1,679.368378,3,1
161,1,4475.424592,84903,111,7,63,0,1,497.12682699999993,1,1
162,1,8714.922134999999,0,118,14,64,0,4,566.4,1,1
163,1,2248.4496329999997,24910,63,7,63,1,1,347.857619,0,1
164,1,7416.197322,0,77,15,12,2,2,554.4,0,1
165,2,7771.1589730000005,21876,68,12,28,0,2,465.41477000000003,4,2
166,1,6968.3419,0,69,33,61,1,2,496.8,0,2
167,2,4250.282624,0,61,17,1,1,7,292.8,3,2
168,2,19776.56654,70699,82,1,57,0,2,256.81383700000004,3,1
169,2,21343.46599,0,74,11,85,1,2,355.2,3,1
170,1,2413.139714,27501,63,20,0,0,1,542.319401,1,1
171,2,15363.84716,15897,101,30,99,0,2,303.14839900000004,2,1
172,1,8456.961887000001,25141,73,12,4,1,2,25.438063,1,1
173,1,2189.642522,0,61,5,46,3,1,292.8,1,2
174,2,5780.182197,51066,74,23,0,0,8,787.993313,3,1
175,1,4639.981638,28358,117,24,37,0,1,84.024413,0,1
176,1,4465.335703,61846,112,1,48,0,1,215.8182,1,1
177,1,5968.118877,90972,74,3,47,0,8,232.92614500000002,0,1
178,1,5097.763336999999,0,74,3,95,0,7,532.8,1,1
179,1,4076.634665,29549,104,17,51,0,1,710.433775,0,2
180,1,12252.60179,0,115,12,17,1,2,552.0,0,1
181,0,16936.27147,39411,217,4,29,2,4,1122.658899,0,1
182,2,4892.435461,21709,62,28,17,0,3,408.374746,3,0
183,1,9942.304791,67890,85,23,57,0,2,408.0,0,2
184,1,3735.8381289999998,0,110,3,16,0,1,792.0,0,1
185,2,13117.52215,84311,111,11,98,4,2,532.8,3,2
186,1,4574.524093999999,99316,114,26,53,0,1,754.358929,1,1
187,1,5470.060561,54507,138,20,11,0,1,702.990032,0,1
188,1,2978.84601,64586,76,3,17,0,1,206.83711100000002,0,1
189,1,6410.967544,61709,82,5,41,2,7,275.395894,1,1
190,2,4479.023088,94656,111,12,79,1,1,459.738128,4,1
191,2,2383.731879,0,69,5,40,0,1,496.8,3,2
192,1,2764.493659,61085,70,27,34,1,1,336.0,0,1
193,1,7920.105377,89284,67,7,31,3,2,321.6,0,2
194,2,6889.097981,0,63,6,12,0,2,302.4,3,2
195,1,3274.194616,31686,81,11,33,0,1,430.99410700000004,0,2
196,0,9951.707743,56855,255,12,1,0,1,1836.0,3,1
197,1,2521.555686,53703,67,3,45,2,1,67.632476,0,1
198,0,23706.11337,0,96,12,35,1,2,844.481918,3,1
199,1,6047.02516,20396,76,15,60,1,4,364.8,1,1
200,0,11140.30248,27679,150,30,28,0,3,722.4869940000001,4,1
201,1,4334.064096,23904,123,1,67,3,1,590.4,0,1
202,2,2799.74791,65351,69,4,54,0,1,481.027516,3,1
203,0,7923.136624,0,113,20,1,0,7,1124.4277339999999,1,1
204,2,3688.110888,0,63,0,54,3,7,669.682001,3,1
205,0,12067.45599,0,116,14,35,0,2,1284.093173,1,1
206,1,2924.976721,64459,72,16,64,0,1,240.259479,1,1
207,0,15014.0927,32961,190,13,53,0,3,912.0,1,2
208,2,9277.233839,71416,116,10,0,0,3,556.8,3,1
209,1,6274.123875,68964,78,15,6,0,3,115.086827,0,1
210,2,3886.647414,78108,98,12,34,0,1,470.4,3,2
211,1,4386.277558,10621,67,28,22,0,5,321.6,1,1
212,1,11365.26766,84910,95,4,69,0,2,383.167471,1,2
213,2,5610.9643399999995,77493,70,2,35,0,3,307.963291,3,1
214,1,2912.8920350000003,81097,74,7,67,0,1,355.2,1,2
215,1,6915.729915000001,96610,85,6,23,0,3,520.364752,1,0
216,0,6262.663307,30110,159,20,71,0,1,466.436375,1,2
217,2,6503.397049,22081,84,1,9,0,6,451.670309,3,2
218,2,8007.399376,0,112,12,93,0,3,537.6,3,1
219,1,2929.9165120000002,98473,72,19,69,0,1,345.6,1,1
220,1,5969.552970000001,97431,74,1,72,0,3,355.2,0,1
221,1,5473.15987,93870,69,1,96,0,8,331.2,0,1
222,2,5645.396665,50366,72,9,5,0,9,428.734656,3,2
223,2,6369.262355,34498,83,30,72,0,7,398.4,3,2
224,1,11833.76732,16552,103,23,53,0,2,494.4,1,2
225,1,6121.107929,26787,77,7,50,0,5,369.6,1,1
226,1,5159.369746,0,74,2,42,0,9,831.752839,1,1
227,2,2514.59196,43860,65,15,58,0,1,156.124914,3,1
228,2,8668.611261,21474,114,13,72,2,9,373.42818700000004,3,2
229,1,4960.965384,18174,66,8,16,0,9,395.934815,0,2
230,1,5504.1390329999995,0,73,18,45,0,5,350.4,0,1
231,1,7507.455371999999,60920,64,10,61,0,2,231.20188599999997,1,1
232,2,32269.851389999996,41520,90,18,70,0,2,289.90410499999996,3,1
233,0,5657.031588,0,152,12,89,0,1,729.6,0,2
234,2,5061.757902,0,68,19,16,0,8,326.4,3,1
235,1,5912.783829,72208,73,3,84,0,8,350.4,0,2
236,1,15182.27975,53863,63,12,30,0,2,105.765111,0,0
237,0,10747.03094,66446,136,8,77,0,3,639.464548,1,0
238,1,2050.623512,0,61,18,26,0,1,292.8,1,2
239,1,2465.444865,64997,63,7,99,1,1,383.442328,0,2
240,2,5343.121327000001,64460,66,18,42,0,3,316.8,3,2
241,1,8119.829070999999,46618,67,22,77,0,2,99.085943,1,0
242,1,4605.265164,0,64,13,64,0,4,307.2,1,2
243,1,6408.785577000001,49988,84,6,37,5,5,566.935022,1,0
244,1,2376.533508,0,91,2,8,5,1,436.8,1,1
245,1,3211.070017,16269,86,6,84,0,1,412.8,0,1
246,1,5094.5222619999995,72006,64,4,38,0,3,307.2,0,1
247,2,25755.278169999998,0,81,3,60,2,2,388.8,3,2
248,0,8672.229718999999,0,245,34,83,0,1,2345.413441,0,1
249,2,8044.7307200000005,44320,67,13,79,0,2,321.6,4,1
250,2,4001.5190979999998,19782,108,13,66,0,1,773.470977,3,1
251,1,16706.116990000002,63933,70,35,98,0,2,424.88344800000004,0,1
252,2,8544.411076999999,28224,109,13,13,0,8,523.2,2,1
253,1,7805.312870000001,21073,106,25,54,1,3,508.8,1,2
254,1,6112.756868,63243,77,21,73,0,3,364.240307,0,0
255,2,4772.943848,20993,133,35,90,0,1,638.4,3,1
256,1,10979.09559,94827,135,5,64,0,4,354.729129,0,1
257,2,5004.263818,39161,63,18,83,1,4,283.995953,4,2
258,1,13223.04379,37534,84,2,0,2,2,403.2,0,1
259,1,2623.31543,80210,65,30,28,0,1,20.543176000000003,0,1
260,1,17840.19555,0,62,32,59,0,2,385.115437,0,2
261,1,5106.111827000001,30110,64,2,4,0,5,140.16503500000002,1,1
262,1,17930.60451,21708,68,28,77,0,2,326.4,1,1
263,2,5457.3425689999995,94731,67,23,65,0,4,321.6,3,1
264,1,6563.6441429999995,32375,83,17,83,0,6,398.4,0,2
265,1,4812.525221,16531,63,0,40,0,4,102.879769,1,1
266,2,29328.04185,32006,94,28,7,0,2,56.868289000000004,4,1
267,1,5773.520711,81676,72,21,86,0,8,463.15850199999994,0,2
268,1,6847.1189,71038,86,15,56,0,3,205.444066,1,1
269,2,3595.31286,0,103,20,43,0,1,741.6,3,1
270,2,22855.612090000002,20832,65,8,32,0,2,56.371967000000005,4,1
271,2,7859.414569,0,113,19,10,0,7,813.6,3,1
272,2,4115.577437,52405,103,2,27,0,1,494.4,3,1
273,0,5029.638777,0,133,3,89,0,1,795.864079,3,2
274,1,4821.418454,26583,128,6,46,4,1,614.4,0,1
275,2,5004.310469,25486,65,15,53,0,3,72.438681,4,1
276,1,8630.053943,24065,111,30,1,0,5,532.8,1,1
277,2,9322.08512,70435,116,0,50,0,4,67.881546,3,1
278,1,16727.56063,0,76,33,36,2,2,402.636829,1,1
279,2,3652.532435,39679,92,2,85,0,1,641.3886160000001,3,1
280,1,6158.601171,0,89,13,45,0,5,342.481173,1,1
281,1,4376.083958,0,69,21,70,4,3,331.2,0,1
282,2,5569.456156,53565,71,27,34,1,6,340.8,3,2
283,1,2576.5130059999997,37574,66,19,14,1,1,412.10193300000003,0,1
284,1,8346.983232999999,48259,108,14,79,0,3,73.70057299999999,0,1
285,2,6323.923864,78532,78,25,87,0,3,374.4,3,1
286,1,5973.14343,96163,73,23,90,0,3,350.4,0,1
287,1,4706.676993,0,72,0,86,0,7,345.6,0,1
288,2,8093.410258,0,114,9,72,1,5,722.024742,3,1
289,1,5035.744643,72672,63,7,39,0,5,259.361117,1,0
290,1,9027.867218000001,99002,112,33,75,1,8,537.6,0,1
291,2,7288.884848999999,79494,91,19,30,0,3,396.295614,3,0
292,0,18042.47942,35704,225,21,35,0,8,358.281562,4,1
293,1,4992.063043,0,71,6,5,0,3,653.388564,0,2
294,2,9102.267849,26049,118,17,6,0,6,121.032372,3,0
295,2,2540.4077260000004,70125,64,21,77,0,1,92.813396,2,1
296,1,12941.89193,52369,110,34,49,1,2,528.0,1,1
297,1,2365.348601,0,66,25,51,2,1,159.636956,0,1
298,1,5720.765064,41770,72,0,60,0,9,476.15695700000003,1,2
299,2,7035.534087999999,0,101,16,88,0,8,727.2,3,1
300,1,2636.97773,31911,67,33,27,0,1,321.6,1,1
301,1,5395.831967,70051,68,15,69,0,8,42.078345,0,1
302,2,8382.630118000001,19683,117,17,41,1,9,561.6,3,1
303,0,31161.74523,30916,112,7,65,0,2,200.11606,1,2
304,1,2887.7422579999998,0,80,24,95,0,1,676.944023,0,1
305,1,8714.922134999999,0,118,14,64,0,4,566.4,1,1
306,0,25585.72783,0,116,0,45,0,2,830.623064,0,1
307,1,10272.6082,60145,132,8,28,0,3,580.473259,1,1
308,1,4376.363592000001,63774,111,18,63,0,1,60.036683,0,1
309,1,5318.89664,25134,67,3,0,0,6,321.6,0,2
310,1,4719.762191,37057,61,5,48,1,6,47.531009999999995,0,2
311,2,4428.031583,58577,110,6,62,0,1,303.872752,3,1
312,2,5879.176092000001,85857,73,3,19,0,6,100.620067,3,1
313,2,9416.908485,70602,116,8,47,0,3,481.339891,2,2
314,2,8288.155579,33816,106,10,97,2,3,508.8,4,1
315,0,32654.8383,0,153,7,75,0,2,1101.6,0,1
316,1,4719.450052,89642,121,11,20,4,1,86.320022,1,1
317,1,3903.4747840000005,60068,98,17,75,0,1,470.4,0,2
318,1,5457.259678,50044,139,16,14,0,1,667.2,0,1
319,2,2725.356404,36650,69,2,70,1,1,56.60333000000001,4,0
320,1,4433.97368,50653,110,29,42,0,1,262.86517200000003,1,2
321,2,5332.462694,68931,66,32,30,0,7,309.577946,2,1
322,1,2315.094985,0,73,14,39,1,1,350.4,0,1
323,1,5411.953687,0,73,1,22,0,5,365.364581,1,1
324,1,9587.33234,39266,80,33,31,0,2,384.0,0,1
325,0,22103.5072,0,102,35,48,0,2,489.6,1,1
326,2,9764.945308,0,98,24,11,1,2,705.6,3,2
327,1,2567.151468,40864,65,2,75,0,1,9.51528,0,1
328,1,2650.622781,39035,68,15,65,0,1,244.56433399999997,1,1
329,1,11264.36334,34923,98,23,82,0,2,639.105556,0,1
330,2,2168.523464,0,63,1,56,0,1,453.6,3,1
331,2,8610.667489,0,111,27,36,0,9,532.8,3,1
332,1,2834.646235,24506,71,7,47,0,1,511.2,1,1
333,2,8930.139728,0,82,25,63,0,2,554.522969,3,1
334,1,5536.386959,52220,70,17,42,1,5,336.0,1,2
335,2,2840.8542899999998,0,74,17,73,0,1,402.449823,3,1
336,1,8082.880956,53554,67,6,5,0,2,327.020539,1,0
337,1,5254.734278,34476,67,23,49,1,3,5.3953,0,1
338,1,5116.237577,0,70,1,11,0,5,131.401291,0,1
339,1,3034.646997,68205,76,35,14,0,1,99.38294300000001,1,1
340,0,8024.899920000001,0,119,6,48,1,8,856.8,3,1
341,0,18211.14319,53690,154,20,97,0,2,739.2,3,2
342,2,5121.563311999999,0,72,2,22,0,5,518.4,3,1
343,2,2150.1785879999998,0,61,28,31,0,1,292.8,3,1
344,2,5595.389905,74454,71,25,29,0,3,340.8,3,1
345,1,7562.824036,0,73,23,91,0,2,350.4,0,0
346,2,5385.853211,29664,71,1,69,0,3,340.8,3,1
347,2,4718.5585009999995,15680,64,20,29,0,8,260.87990299999996,4,1
348,1,9422.567923,47272,79,17,17,3,2,64.546877,0,1
349,1,3605.860265,21585,92,35,61,0,1,441.6,1,1
350,1,7762.590564,23827,106,18,77,2,3,37.910623,1,1
351,1,23444.90045,69906,74,34,32,2,2,202.860399,1,1
352,2,2558.178159,0,72,7,77,0,1,345.6,3,2
353,2,5123.170886999999,89879,63,17,20,0,3,94.03030799999999,4,1
354,2,2537.744494,0,69,9,89,0,1,331.2,3,0
355,2,2969.593296,46131,74,27,28,0,1,355.2,3,2
356,2,4363.124640999999,54514,109,5,36,3,1,286.234931,4,1
357,0,5884.308607,0,161,29,1,0,1,1159.2,3,1
358,1,5272.191556000001,96668,66,2,95,0,3,316.8,1,1
359,2,5509.895664,78879,69,9,67,1,4,466.57079100000004,2,2
360,1,16313.683490000001,0,69,21,86,0,2,331.2,1,1
361,1,5678.050167,0,76,8,44,0,3,364.8,0,2
362,0,12101.208840000001,0,112,28,30,0,2,1252.406235,0,0
363,1,2453.570794,29735,69,3,92,0,1,331.2,0,1
364,2,5075.662670000001,23082,65,18,90,0,7,312.0,3,0
365,1,3214.979402,53984,80,15,62,0,1,421.48445599999997,0,2
366,0,12275.34309,52135,156,6,86,0,9,430.505942,1,2
367,1,2722.210707,17576,71,29,70,0,1,398.502948,1,1
368,1,2457.440923,29486,62,19,73,0,1,7.646763000000001,0,1
369,2,3554.845264,58557,88,4,83,0,1,55.510526,4,0
370,1,4929.549699,25632,63,27,52,0,7,351.270869,0,1
371,2,8036.45034,0,112,7,42,0,9,806.4,3,1
372,1,4276.915328,18768,68,19,53,3,3,647.454583,0,1
373,0,33473.349460000005,33190,106,18,95,0,2,508.8,0,1
374,2,5960.581363,47945,74,32,39,0,3,128.43823,4,1
375,0,44795.46942,58778,126,6,62,0,2,302.033971,1,2
376,2,3832.1181060000004,15192,100,1,7,0,1,480.0,3,1
377,0,6837.932623999999,51859,171,0,21,0,1,1003.160633,0,1
378,2,5285.2681600000005,23422,72,25,76,0,3,518.4,3,1
379,1,3096.511217,21604,79,14,28,0,1,379.2,1,1
380,1,3589.7107149999997,79298,90,22,2,0,1,244.362072,1,1
381,1,2582.408525,76731,64,2,68,0,1,201.455005,0,1
382,1,2487.729726,67282,62,29,27,0,1,297.6,1,1
383,1,13575.67599,48534,115,29,79,1,2,552.0,1,2
384,2,4685.504250999999,77678,116,32,81,0,1,741.4184849999999,2,2
385,0,28685.82785,48412,104,15,23,0,2,707.430832,1,1
386,2,2764.032126,33837,72,29,54,4,1,305.575785,3,1
387,1,6183.111464,23712,85,2,20,0,3,376.126419,0,1
388,1,3873.647046,28142,105,18,50,0,1,701.7082389999999,1,1
389,2,18929.3306,72196,68,8,61,0,2,152.184244,4,1
390,2,5553.295758,68197,69,1,81,0,3,176.819414,4,1
391,1,5011.2591840000005,75248,63,13,71,0,5,104.454624,0,0
392,0,10442.446329999999,0,98,9,50,0,2,941.7180539999999,1,2
393,1,2199.61781,0,65,5,19,1,1,468.0,0,1
394,1,8709.845263,41546,111,4,47,0,3,121.306839,0,1
395,2,7484.310483,46998,96,13,98,0,6,460.8,3,1
396,1,2613.023132,57099,67,20,37,0,1,67.859881,0,2
397,1,9080.639651000001,33897,114,15,67,0,8,539.8430030000001,0,2
398,2,13770.976180000001,59207,116,23,21,0,2,556.8,3,1
399,2,2876.822941,40171,73,8,78,0,1,350.4,3,1
400,1,5548.031892,67798,69,1,78,0,9,331.2,0,1
401,0,5097.526248,21665,136,0,25,0,1,765.709629,0,1
402,0,24143.87556,0,87,9,75,0,2,626.4,1,1
403,1,3538.0594560000004,0,67,12,67,5,7,321.6,1,1
404,0,29091.239360000003,34226,244,29,22,0,2,494.39502400000003,0,2
405,2,19834.20115,65989,123,4,43,1,2,115.54508600000001,3,1
406,2,4731.366975,30686,61,22,45,0,3,19.938981,3,1
407,0,35537.846,0,113,15,6,0,2,799.926741,4,0
408,0,34611.37896,20090,109,10,59,0,2,523.2,3,1
409,0,20216.30883,0,183,6,16,0,2,878.4,3,0
410,0,13976.51925,77094,176,25,29,0,5,444.47067599999997,1,1
411,1,5904.088162,97413,73,21,80,0,6,268.81998500000003,1,1
412,2,5595.835040999999,79189,69,6,97,0,4,331.2,4,1
413,2,2294.303629,0,62,5,31,0,1,297.6,3,1
414,1,6273.911874,18577,86,21,76,0,6,412.8,1,1
415,1,3726.727996,0,112,7,34,1,1,806.4,1,1
416,1,5285.1186689999995,40783,67,13,43,1,9,321.6,0,1
417,1,5110.680779,0,74,34,51,0,4,532.8,0,1
418,0,7126.596501000001,17483,183,24,63,0,1,1317.6,1,0
419,2,4601.634099,84394,114,9,38,0,1,691.412378,4,1
420,0,9155.239699,0,127,3,93,0,3,804.811859,1,1
421,1,14808.05624,41440,62,20,80,1,2,297.6,1,2
422,0,8901.678356999999,0,136,14,69,1,8,1090.86434,3,2
423,1,5734.598243,98132,71,10,61,0,3,50.587035,1,1
424,2,4177.696973,0,112,4,49,0,1,537.6,3,1
425,0,27776.289060000003,88220,230,28,63,0,2,151.528482,0,2
